S.no,Dealer Name,Fabrication Number,Product Sub Group,Warranty Type,Model,Customer Name,Fabrication Number,Location,OEM person,Model,ESN,Service data,Service HMR,Category,Segment,Service Engineer,Comm Date,,Inv Date,Latest Service Call,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,,Feb-26,DATE,HMR,LAST SERCICE DETAIL,HMR,Last service date,OF,AFC,AFE,AOS,VK,OF HMR,OF LAST SERVICE DATE,HMR of OF since last service,Days of OF  since last service,HMR DUE,AGEING DUE,AFC HMR,AFC SERVICE DATE,HMR of AFC since last service,Days of AFC  since last service,AFE HMR,AFE SERVICE DATE,HMR of AFE since last service,Days of AFE  since last service,AOS HMR,AOS DATE,HMR of AOS since last service,Days of AOS  since last service,VK HMR,VK DATE,HMR of VK since last service,Days of VK since last service,status,Shifted,Scrapped,Dealer Remarks,Oil R Date,AFC R Date,AFE R Date,MOF R Date,ROF R Date,AOS R Date,RGT R Date,1500 kit R Date,3000 kit R Date
Out of Warranty,C,GOBD160007,DPSAC - TROLLEY (C&M),Out of warranty,PG 450 - 150 2W 6BTA,JITENDRA KUMAR,GOBD160007,"JAPLA,Palamu ",Samarjeet,,84218692,,,C (Not Buying Spares or buying lubricants),,Bikram  Sahoo,17-Feb-16,17-Feb-18,26-May-15,CC-01830256,7295,,7295,,7353,7400,0,0,05-02-2026,7400,0,7425,20-02-2026,0,0,0,0,0,0,17-02-2016,7400,3640,,,0,17-02-2016,7400,3640,0,17-02-2016,7400,3640,0,17-02-2016,7400,3640,0,17-02-2016,7400,3640,Active,,,Spurious,19-Feb-26,19-Feb-26,19-Feb-26,19-Feb-26,19-Feb-26,19-Feb-26,19-Feb-26,19-Feb-26,19-Feb-26
Out of Warranty,C,GOCD160022,DPSAC - TROLLEY (C&M),Out of warranty,PG 450 - 150 2W 6BTA,NOBAL ENTERPRISES,GOCD160022,GAYA,Ajay,,NA,,,C (Not Buying Spares or buying lubricants),MINING                                                                          ,Bikram  Sahoo,08-Mar-16,08-Mar-18,07-Dec-15,CC-01830337,5435,,5650,,0,6072,0,0,05-02-2026,6072,0,2988,06-12-2023,0,0,0,0,0,0,08-03-2016,6072,3620,,,0,08-03-2016,6072,3620,0,08-03-2016,6072,3620,0,08-03-2016,6072,3620,0,08-03-2016,6072,3620,Active,,,Spurious,05-Dec-23,05-Dec-23,,05-Dec-23,05-Dec-23,,,,
Out of Warranty,Shifted,GOHD160077,DPSAC - TROLLEY (C&M),Out of warranty,PG 450 - 150 2W 6BTA,RVNL,GOHD160077,#N/A,,,,,,C (Not Buying Spares or buying lubricants),,Debraj Manna,10-Jul-16,10-Jul-18,24-Nov-15,CC-00991700,,,,,0,,#N/A,#N/A,05-02-2026,#N/A,0,No Service,NO Service,0,0,0,0,0,0,10-07-2016,#N/A,3496,,,0,10-07-2016,#N/A,3496,0,10-07-2016,#N/A,3496,0,10-07-2016,#N/A,3496,0,10-07-2016,#N/A,3496,Shifted to Hydrabad (NATIONAL EQUIPMENT AGENGIES),Shifted to Hydrabad (NATIONAL EQUIPMENT AGENGIES),,,,,,,,,,,
Out of Warranty,A,BVLD163043,DPSAC - TROLLEY (C&M),Out of warranty,PG 500-175,Vijay Kumar Sahu Infrastructure Pvt. Ltd,BVLD163043,"TUPUDANA,Ranchi",Samarjeet,,MDHM109705,25-09-2024,2482,A (100% potential spares purchased),CONSTRUCTION                                                                    ,Bikram  Sahoo,25-Dec-22,25-Dec-24,31-Mar-22,CC-01831283,,,3685,,0,4103,0,0,05-02-2026,4103,0,1695,13-05-2024,0,0,0,0,0,0,25-12-2022,4103,1137,,,0,25-12-2022,4103,1137,0,25-12-2022,4103,1137,0,25-12-2022,4103,1137,0,25-12-2022,4103,1137,Active,,,0,12-May-24,12-May-24,12-May-24,12-May-24,12-May-24,12-May-24,12-May-24,12-May-24,
Warranty,B,BXBD164381,DPSAC - SKID (C&M),In Standard Warranty,PG 575-225 (SKID),SRI LAXMI DRILLERS,BXBD164381,DHANBAD,Amit,ALUW06DTI,RMHM107074,13-11-2024,3145,B (Below 100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,16-Aug-24,16-Aug-26,30-May-24,CC-01861249,,700,850,1000,1167,1239,1210,1240,05-02-2026,1240,0,500,05-11-2024,0,0,0,0,0,0,16-08-2024,1240,537,,,0,16-08-2024,1240,537,0,16-08-2024,1240,537,0,16-08-2024,1240,537,0,16-08-2024,1240,537,Active,,,0,03-Nov-24,03-Nov-24,03-Nov-24,03-Nov-24,03-Nov-24,15-Aug-24,15-Aug-24,15-Aug-24,15-Aug-24
Out of Warranty,A,BUKD162491,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,VPR mining infra,BUKD162491,PAKUR,Amit,,LYHM113097,,,A (100% potential spares purchased),,Bikram  Sahoo,25-Mar-21,25-Mar-23,11-Feb-21,CC-01856766,,7330,,8180,8666,8774,0,8180,05-02-2026,8180,0,8210,17-12-2025,0,0,0,0,0,0,25-03-2021,8180,1778,,,0,25-03-2021,8180,1778,0,25-03-2021,8180,1778,0,25-03-2021,8180,1778,0,25-03-2021,8180,1778,Active,,,0,16-Dec-25,16-Dec-25,16-Dec-25,16-Dec-25,16-Dec-25,16-Dec-25,16-Dec-25,16-Dec-25,16-Dec-25
Out of Warranty,A,BUKD162500,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,VPR mining infra,BUKD162500,PAKUR,Amit,,LMHM115508,,,A (100% potential spares purchased),,Bikram  Sahoo,24-Mar-21,24-Mar-23,11-Feb-21,CC-01856754,,6435,,7768,7898,8475,0,7768,05-02-2026,7768,0,8325,17-12-2025,0,0,0,0,0,0,24-03-2021,7768,1778,,,0,24-03-2021,7768,1778,0,24-03-2021,7768,1778,0,24-03-2021,7768,1778,0,24-03-2021,7768,1778,Active,,,0,22-Oct-25,16-Dec-25,16-Dec-25,16-Dec-25,16-Dec-25,22-Oct-25,22-Oct-25,22-Oct-25,22-Oct-25
Out of Warranty,A,AUKD230777,DPSAC - TROLLEY (C&M),Out of warranty,PG 185-100,SP Singla Construction ( P) Ltd,AUKD230777,"MOKAMA, BIHAR",Ajay,,KLE5515,,,A (100% potential spares purchased),,Bikram  Sahoo,27-Feb-21,27-Feb-23,12-Feb-21,CC-01855273,6315,,6475,,0,,0,0,05-02-2026,,0,6500,24-10-2025,0,0,0,0,0,0,27-02-2021,#VALUE!,1804,,,0,27-02-2021,#VALUE!,1804,0,27-02-2021,#VALUE!,1804,0,27-02-2021,#VALUE!,1804,0,27-02-2021,#VALUE!,1804,Active,,,Long idle,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25
Out of Warranty,C,BSGD161854,DPSAC - TROLLEY (C&M),Out of warranty,PG 500-175,KRISHNA KUMAR,BSGD161854," BUKRU, RANCHI",Samarjeet,,KDHM114102,,,C (Not Buying Spares or buying lubricants),DRILLING APPLICATION                                                            ,Bikram  Sahoo,28-Nov-19,28-Nov-21,21-Aug-19,CC-01854414,,5970,,6135,6238,6379,0,6180,05-02-2026,6180,0,3770,31-07-2023,0,0,0,0,0,0,28-11-2019,6180,2260,,,0,28-11-2019,6180,2260,0,28-11-2019,6180,2260,0,28-11-2019,6180,2260,0,28-11-2019,6180,2260,Active,,,Spurious,30-Jul-23,30-Jul-23,30-Jul-23,30-Jul-23,30-Jul-23,06-Feb-23,,,
Out of Warranty,B,BSHD120740,DPSAC - TROLLEY (C&M),Out of warranty,PG 300 - 100 2W HINO,AFCONS INFRASTRUCTURE LIMITED,BSHD120740,PATNA,Ajay,,NA,,,B (Below 100% potential spares purchased),,Debraj Manna,04-Mar-20,04-Mar-22,24-Sep-19,CC-01144633,,,,,0,1516,0,0,05-02-2026,1516,0,496,07-02-2023,0,0,0,0,0,0,04-03-2020,1516,2163,,,0,04-03-2020,1516,2163,0,04-03-2020,1516,2163,0,04-03-2020,1516,2163,0,04-03-2020,1516,2163,Project closed,,,,06-Feb-23,06-Feb-23,06-Feb-23,06-Feb-23,06-Feb-23,06-Feb-23,,,
