S.no,Dealer Name,Fabrication Number,Product Sub Group,Warranty Type,Model,Customer Name,Fabrication Number,Location,OEM person,Model,ESN,Service data,Service HMR,Category,Segment,Service Engineer,Comm Date,,Inv Date,Latest Service Call,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,,Feb-26,DATE,HMR,LAST SERCICE DETAIL,HMR,Last service date,OF,AFC,AFE,AOS,VK,OF HMR,OF LAST SERVICE DATE,HMR of OF since last service,Days of OF  since last service,HMR DUE,AGEING DUE,AFC HMR,AFC SERVICE DATE,HMR of AFC since last service,Days of AFC  since last service,AFE HMR,AFE SERVICE DATE,HMR of AFE since last service,Days of AFE  since last service,AOS HMR,AOS DATE,HMR of AOS since last service,Days of AOS  since last service,VK HMR,VK DATE,HMR of VK since last service,Days of VK since last service,status,Shifted,Scrapped,Dealer Remarks,Oil R Date,AFC R Date,AFE R Date,MOF R Date,ROF R Date,AOS R Date,RGT R Date,1500 kit R Date,3000 kit R Date
Out of Warranty,A,BQCD160106,DPSAC - SKID (WW),Out of warranty,PG 550S-200,SMR BOREWELL,BQCD160106,"COLLIEARY, DHANBAD",,,HDHM412788,,,A (100% potential spares purchased),DRILLING APPLICATION                                                            ,Bikram  Sahoo,02-Aug-17,02-Aug-20,14-Jun-17,CC-01856344,,8260,,8320,8450,8638,0,8380,05-02-2026,8380,0,8275,24-10-2025,0,0,0,0,0,0,02-08-2017,8380,3108,,,0,02-08-2017,8380,3108,0,02-08-2017,8380,3108,0,02-08-2017,8380,3108,0,02-08-2017,8380,3108,Active,,,Spurious,24-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25
Out of Warranty,B,BQBD200008,DPSAC - SKID (WW),Out of warranty,PG 600S-230S,JALDHARA BOREWELL,BQBD200008,GAYA,,,84500951,,,B (Below 100% potential spares purchased),,Bikram  Sahoo,18-Sep-17,18-Sep-20,12-Jun-17,CC-01852714,,10620,,10675,10711,10758,0,10690,05-02-2026,10690,0,10785,20-02-2026,0,0,0,0,0,0,18-09-2017,10690,3061,,,0,18-09-2017,10690,3061,0,18-09-2017,10690,3061,0,18-09-2017,10690,3061,0,18-09-2017,10690,3061,Active,,,Low running,19-Feb-26,19-Feb-26,19-Feb-26,19-Feb-26,19-Feb-26,19-Feb-26,19-Feb-26,19-Feb-26,19-Feb-26
,,BQDD160209,DPSAC - SKID (WW),Out of warranty,PG 500S-175,SRI VENKATA NAGA RAJU BORE WELLS,BQDD160209,#N/A,,,,,,C (Not Buying Spares or buying lubricants),DRILLING APPLICATION                                                            ,Venkatesh Puppala Srinivasa Rao,03-Oct-17,03-Oct-20,13-Sep-17,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,05-02-2026,#N/A,0,No Service,NO Service,0,0,0,0,0,0,03-10-2017,#N/A,3046,,,0,03-10-2017,#N/A,3046,0,03-10-2017,#N/A,3046,0,03-10-2017,#N/A,3046,0,03-10-2017,#N/A,3046,Active,,,Scrapped,,,,,,,,,
,,BPCD210028,DPSAC - SKID (WW),Out of warranty,PG 1000S - 275 NTA,Gowri shankar bore wells,BPCD210028,#N/A,,,,,,C (Not Buying Spares or buying lubricants),,Venkatesh Puppala Srinivasa Rao,12-Aug-16,12-Aug-19,06-Apr-16,CC-00917699,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,05-02-2026,#N/A,0,No Service,NO Service,0,0,0,0,0,0,12-08-2016,#N/A,3463,,,0,12-08-2016,#N/A,3463,0,12-08-2016,#N/A,3463,0,12-08-2016,#N/A,3463,0,12-08-2016,#N/A,3463,Active,,,Scrapped,,,,,,,,,
Out of Warranty,C,BQFD160263,DPSAC - SKID (C&M),Out of warranty,PG 500S-175,BHARAT BOREWELL,BQFD160263,CHATRA,,,HBHM19642,,,C (Not Buying Spares or buying lubricants),,Bikram  Sahoo,13-Nov-17,13-Nov-19,15-Oct-17,CC-01854351,,7980,,8090,8159,8253,0,8120,05-02-2026,8120,0,8310,25-02-2026,0,0,0,0,0,0,13-11-2017,8120,3005,,,0,13-11-2017,8120,3005,0,13-11-2017,8120,3005,0,13-11-2017,8120,3005,0,13-11-2017,8120,3005,Active,,,Spurious,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26
Out of Warranty,C,BPHD160162,DPSAC - SKID (WW),Out of warranty,PG 500-175,SK BROTHERS,BPHD160162,#N/A,,,,,,C (Not Buying Spares or buying lubricants),,Bikram  Sahoo,18-Dec-16,18-Dec-19,11-Aug-16,CC-01856334,,10680,,10910,11040,11228,0,10970,05-02-2026,10970,0,7180,08-05-2023,0,0,0,0,0,0,18-12-2016,10970,3335,,,0,18-12-2016,10970,3335,0,18-12-2016,10970,3335,0,18-12-2016,10970,3335,0,18-12-2016,10970,3335,Active,,,Spurious,07-May-23,07-May-23,07-May-23,07-May-23,07-May-23,07-May-23,,07-May-23,
Out of Warranty,C,BQGD160315,DPSAC - SKID (WW),Out of warranty,PG 500-175,Universal Minetech Corporation,BQGD160315,#N/A,,,,,,C (Not Buying Spares or buying lubricants),CONSTRUCTION                                                                    ,Bikram  Sahoo,19-Nov-17,19-Nov-20,10-Jul-17,CC-01830587,,,5140,,5315,5456,0,0,05-02-2026,5456,0,No Service,NO Service,0,0,0,0,0,0,19-11-2017,5456,2999,,,0,19-11-2017,5456,2999,0,19-11-2017,5456,2999,0,19-11-2017,5456,2999,0,19-11-2017,5456,2999,Active,,,Spurious,,,,,,,,,
Out of Warranty,C,BQGD160344,DPSAC - SKID (WW),Out of warranty,PG 500-175,JHARKAND ENTERPRISES,BQGD160344,GAYA,,,NA,,,C (Not Buying Spares or buying lubricants),,Bikram  Sahoo,16-Nov-17,16-Nov-20,30-Oct-17,CC-01830173,4245,,4300,,0,4405,0,0,05-02-2026,4405,0,5125,25-02-2026,0,0,0,0,0,0,16-11-2017,4405,3002,,,0,16-11-2017,4405,3002,0,16-11-2017,4405,3002,0,16-11-2017,4405,3002,0,16-11-2017,4405,3002,Active,,,Spurious,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26
Out of Warranty,B,BQED160215,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,ABISHEK SONI,BQED160215,GIRIDIH,,,HBHM220225,,,B (Below 100% potential spares purchased),,Bikram  Sahoo,03-Sep-17,03-Sep-19,22-Aug-17,CC-01832008,5860,,5950,,0,6186,6175,0,05-02-2026,6186,0,6180,20-01-2026,0,0,0,0,0,0,03-09-2017,6186,3076,,,0,03-09-2017,6186,3076,0,03-09-2017,6186,3076,0,03-09-2017,6186,3076,0,03-09-2017,6186,3076,Active,,,#N/A,19-Jan-26,19-Jan-26,19-Jan-26,19-Jan-26,19-Jan-26,10-Oct-25,19-Jan-26,10-Oct-25,10-Oct-25
Out of Warranty,Shifted,BQCD160129,DPSAC - SKID (WW),Out of warranty,PG 550S-200,VENKATESHWARA BOREWELL,BQCD160129,GONDUDIH,,,HCHM415199,,,A (100% potential spares purchased),,Debraj Manna,19-Nov-17,19-Nov-20,26-Jun-17,CC-01303390,,,,,0,,#N/A,#N/A,05-02-2026,#N/A,0,8445,06-12-2023,0,0,0,0,0,0,19-11-2017,#N/A,2999,,,0,19-11-2017,#N/A,2999,0,19-11-2017,#N/A,2999,0,19-11-2017,#N/A,2999,0,19-11-2017,#N/A,2999,Shifted to Hydrabad (NATIONAL EQUIPMENT AGENGIES),Shifted to Hydrabad (NATIONAL EQUIPMENT AGENGIES),,,05-Dec-23,05-Dec-23,05-Dec-23,05-Dec-23,05-Dec-23,07-Feb-23,,07-Feb-23,
Out of Warranty,A,BRBL150944,EPSAC - TROLLEY,Out of warranty,PG 45 E - 7,Heeru Corrosion protection services (I) Pvt Ltd,BRBL150944,"FLAT NO. 300, BLOCK - A, MP SRIRAM, CHHOTA GAMHARIA, P.S. - GAMHARIA, DIST.- SARAIKELA KHARSAWAN",,NA,NA,,,A (100% potential spares purchased),,Bikram  Sahoo,04-Jul-18,04-Jul-20,04-Jul-18,CC-01827588,9800,,9800,,0,10131,10105,0,05-02-2026,10131,0,9950,23-12-2025,0,0,0,0,0,0,04-07-2018,10131,2772,,,0,04-07-2018,10131,2772,0,04-07-2018,10131,2772,0,04-07-2018,10131,2772,0,04-07-2018,10131,2772,Active,,,#N/A,22-Dec-25,22-Dec-25,,22-Dec-25,22-Dec-25,22-Dec-25,22-Dec-25,22-Dec-25,22-Dec-25
Out of Warranty,C,BRCD160978,DPSAC - SKID (WW),Out of warranty,PG 500-175,Dandar Nirman Pvt. Ltd,BRCD160978,RANCHI,,,JCHM4235578,,,C (Not Buying Spares or buying lubricants),MINING                                                                          ,Bikram  Sahoo,15-Jul-18,15-Jul-21,03-Jul-18,CC-01827550,8120,,8275,,0,8593,8580,0,05-02-2026,8593,0,0,06-02-2025,0,0,0,0,0,0,15-07-2018,8593,2761,,,0,15-07-2018,8593,2761,0,15-07-2018,8593,2761,0,15-07-2018,8593,2761,0,15-07-2018,8593,2761,Active,,,Spurious,14-Mar-23,05-Feb-25,05-Feb-25,05-Feb-25,05-Feb-25,,,01-Nov-20,02-Mar-22
Out of Warranty,C,BQED160222,DPSAC - SKID (WW),Out of warranty,PG 500-175,BABA BORE WELL,BQED160222,"DEOGHAR,JHARKHAND",,,HBHM419640,,,C (Not Buying Spares or buying lubricants),,Bikram  Sahoo,04-Sep-17,04-Sep-20,15-Aug-17,CC-01852579,,6400,,6410,6410,6410,0,6410,05-02-2026,6410,0,6410,24-10-2025,0,0,0,0,0,0,04-09-2017,6410,3075,,,0,04-09-2017,6410,3075,0,04-09-2017,6410,3075,0,04-09-2017,6410,3075,0,04-09-2017,6410,3075,Active,,,Spurious,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25
Out of Warranty,C,BRDD161021,DPSAC - SKID (WW),Out of warranty,PG 500-175,UDAY PRATAP SINGH,BRDD161021,CHATTARPUR,,,JCHM423575,,,C (Not Buying Spares or buying lubricants),MINING                                                                          ,Bikram  Sahoo,27-Nov-18,27-Nov-21,18-Jul-18,CC-01856453,,10485,,10600,10665,10759,0,10630,05-02-2026,10630,0,No Service,24-06-2019,0,0,0,0,0,0,27-11-2018,10630,2626,,,0,27-11-2018,10630,2626,0,27-11-2018,10630,2626,0,27-11-2018,10630,2626,0,27-11-2018,10630,2626,Active,,,Spurious,,,,,,,,,
Out of Warranty,C,BRED161131,DPSAC - SKID (WW),Out of warranty,PG 500S-175,Aditya Roy,BRED161131,"P.O.+P.S. - GURPA, DIST- GAYA, BIHAR",,,JBHM431580,,,C (Not Buying Spares or buying lubricants),,Bikram  Sahoo,21-Nov-18,21-Nov-21,28-Oct-18,CC-01827538,5600,,5760,,0,6082,0,0,05-02-2026,6082,0,4120,05-12-2023,0,0,0,0,0,0,21-11-2018,6082,2633,,,0,21-11-2018,6082,2633,0,21-11-2018,6082,2633,0,21-11-2018,6082,2633,0,21-11-2018,6082,2633,Active,,,Low running,04-Dec-23,,,04-Dec-23,04-Dec-23,,,,
Out of Warranty,C,BRAD160803,DPSAC - SKID (WW),Out of warranty,PG 550S-200,SURYA BORE WELLS,BRAD160803,DHANBAD,,,JFHM408721,,,C (Not Buying Spares or buying lubricants),MINING                                                                          ,Bikram  Sahoo,30-May-18,30-May-21,19-Apr-18,CC-01856416,,7230,,7275,7405,7593,0,7335,05-02-2026,7335,0,7230,24-10-2025,0,0,0,0,0,0,30-05-2018,7335,2807,,,0,30-05-2018,7335,2807,0,30-05-2018,7335,2807,0,30-05-2018,7335,2807,0,30-05-2018,7335,2807,Active,,,Spurious,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,28-Mar-25,24-Oct-25,24-Oct-25
Out of Warranty,B,BQED160244,DPSAC - SKID (WW),Out of warranty,PG 550S-200,GANPATI ROCK DRILLES,BQED160244,BHULI DHANBAD,,,HBHM41951,,,B (Below 100% potential spares purchased),,Bikram  Sahoo,19-Sep-17,19-Sep-20,08-Aug-17,CC-01852681,,11080,,11220,11314,11437,0,11259,05-02-2026,11259,0,9760,17-02-2024,0,0,0,0,0,0,19-09-2017,11259,3060,,,0,19-09-2017,11259,3060,0,19-09-2017,11259,3060,0,19-09-2017,11259,3060,0,19-09-2017,11259,3060,Active,,,Spourious,16-Feb-24,16-Feb-24,16-Feb-24,16-Feb-24,16-Feb-24,07-Feb-23,,07-Feb-23,
Out of Warranty,B,BRGD230256,DPSAC - SKID (WW),Out of warranty,PG1200S-330,SURAJMAL ONKARMAL,BRGD230256,"ASHOK NAGAR, RANCHI",,,25784298,,,B (Below 100% potential spares purchased),WW END CUSTOMER                                                                 ,Bikram  Sahoo,21-Nov-18,21-Nov-21,25-Oct-18,CC-01856409,,6970,,7200,7330,7542,0,7200,05-02-2026,7200,0,7480,08-01-2026,0,0,0,0,0,0,21-11-2018,7200,2633,,,0,21-11-2018,7200,2633,0,21-11-2018,7200,2633,0,21-11-2018,7200,2633,0,21-11-2018,7200,2633,Active,,,#N/A,07-Jan-26,07-Jan-26,07-Jan-26,07-Jan-26,07-Jan-26,07-Jan-26,07-Jan-26,07-Jan-26,07-Jan-26
Out of Warranty,A,BRGD161233,DPSAC - SKID (WW),Out of warranty,PG 550S-200,SSK RIG SERVICE,BRGD161233,"KOKAR, RANCHI",,,JBHM431736,,,A (100% potential spares purchased),"WW END CUSTOMER - 4½""                                                           ",Bikram  Sahoo,04-Feb-19,04-Feb-22,30-Nov-18,CC-01856564,,14765,,14880,14945,15039,0,14910,05-02-2026,14910,0,15100,25-02-2026,0,0,0,0,0,0,04-02-2019,14910,2558,,,0,04-02-2019,14910,2558,0,04-02-2019,14910,2558,0,04-02-2019,14910,2558,0,04-02-2019,14910,2558,Active,,,#N/A,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26,24-Feb-26
Out of Warranty,C,BRHD161303,DPSAC - SKID (WW),Out of warranty,PG 500S-175,M.A.S SABARI,BRHD161303,"GAYA, BIHAR",,,JXHM445494,,,C (Not Buying Spares or buying lubricants),,Bikram  Sahoo,27-Dec-18,27-Dec-21,04-Dec-18,CC-01830279,5520,,5520,,5520,5520,0,0,05-02-2026,5520,0,No Service,27-04-2019,0,0,0,0,0,0,27-12-2018,5520,2597,,,0,27-12-2018,5520,2597,0,27-12-2018,5520,2597,0,27-12-2018,5520,2597,0,27-12-2018,5520,2597,Active,,,Low running,,,,,,,,,
,,BRHD161311,DPSAC - SKID (WW),Out of warranty,PG 550S-200,Ushodaya Bore Wells,BRHD161311,#N/A,,,,,,C (Not Buying Spares or buying lubricants),,Venkatesh Puppala Srinivasa Rao,04-Feb-19,04-Feb-22,11-Jan-19,CC-00905805,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,05-02-2026,#N/A,0,No Service,NO Service,0,0,0,0,0,0,04-02-2019,#N/A,2558,,,0,04-02-2019,#N/A,2558,0,04-02-2019,#N/A,2558,0,04-02-2019,#N/A,2558,0,04-02-2019,#N/A,2558,Active,,,Scrapped,19-Jan-22,,,,,28-Nov-20,,,
Out of Warranty,C,BSKD120520,DPSAC - TROLLEY (C&M),Out of warranty,PG 300 - 100 2W HINO,KALPATRU POWER TRANSMISSION LIMITED,BSKD120520,#N/A,,,,,,C (Not Buying Spares or buying lubricants),,Debraj Manna,02-Mar-19,02-Mar-21,11-Feb-19,CC-01253047,,,,,80,80,80,0,05-02-2026,80,0,No Service,NO Service,0,0,0,0,0,0,02-03-2019,80,2531,,,0,02-03-2019,80,2531,0,02-03-2019,80,2531,0,02-03-2019,80,2531,0,02-03-2019,80,2531,Project closed,,,,,,,,,,,,
Out of Warranty,C,BSJD161438,DPSAC - TROLLEY (C&M),Out of warranty,PG 450 - 150 2W 6BTA,Sajal Enterprises,BSJD161438,"KAMDE,RANCHI",,,91A84853536,,,C (Not Buying Spares or buying lubricants),,Debraj Manna,24-Apr-19,24-Apr-21,11-Feb-19,CC-01140812,,,,,0,3763,0,0,05-02-2026,3763,0,2250,29-12-2023,0,0,0,0,0,0,24-04-2019,3763,2479,,,0,24-04-2019,3763,2479,0,24-04-2019,3763,2479,0,24-04-2019,3763,2479,0,24-04-2019,3763,2479,Active,,,Spurious,28-Dec-23,28-Dec-23,,28-Dec-23,28-Dec-23,14-Mar-23,,14-Mar-23,
Out of Warranty,C,BSKD220275,DPSAC - TROLLEY (C&M),Out of warranty,PG 600-100 WITH 6BTA ENGINE,Mani Vijay Infratech Pvt. Ltd.,BSKD220275,SARAN BIHAR,,,NA,,,C (Not Buying Spares or buying lubricants),Other Industry                                                                  ,Bikram  Sahoo,30-Apr-19,30-Apr-21,22-Feb-19,CC-01830307,3330,,3430,,0,3641,0,0,05-02-2026,3641,0,2000,15-03-2023,0,0,0,0,0,0,30-04-2019,3641,2473,,,0,30-04-2019,3641,2473,0,30-04-2019,3641,2473,0,30-04-2019,3641,2473,0,30-04-2019,3641,2473,Active,,,Spurious,14-Mar-23,14-Mar-23,,14-Mar-23,14-Mar-23,14-Mar-23,,14-Mar-23,
Out of Warranty,C,BSLD200427,DPSAC - SKID (WW),Out of warranty,PG 600S - 200 WW 6CTA,JHARKHAND SANITARY,BSLD200427,CHATRA,,,84514896,,,C (Not Buying Spares or buying lubricants),DRILLING APPLICATION                                                            ,Bikram  Sahoo,04-Apr-19,04-Apr-22,15-Mar-19,CC-01830669,,,5435,,5610,5751,0,0,05-02-2026,5751,0,5835,21-02-2026,0,0,0,0,0,0,04-04-2019,5751,2498,,,0,04-04-2019,5751,2498,0,04-04-2019,5751,2498,0,04-04-2019,5751,2498,0,04-04-2019,5751,2498,Active,,,Spurious,20-Feb-26,20-Feb-26,20-Feb-26,20-Feb-26,20-Feb-26,20-Feb-26,20-Feb-26,20-Feb-26,20-Feb-26
Out of Warranty,C,BSCL152143,EPSAC - TROLLEY,Out of warranty,PG 45 E - 7,ROYAL ENTERPRISES,BSCL152143,"PAWAN KUMAR MISHRA,, KAHALGAON, BHAGALPUR, BIHAR - 813 203",,NA,NA,,,C (Not Buying Spares or buying lubricants),CONSTRUCTION                                                                    ,Bikram  Sahoo,31-Jul-19,31-Jul-21,10-Jun-19,CC-01830436,,,3420,,0,3525,0,0,05-02-2026,3525,0,2750,06-12-2023,0,0,0,0,0,0,31-07-2019,3525,2380,,,0,31-07-2019,3525,2380,0,31-07-2019,3525,2380,0,31-07-2019,3525,2380,0,31-07-2019,3525,2380,Active,,,Spurious,05-Dec-23,05-Dec-23,,10-Mar-22,05-Dec-23,10-Mar-22,10-Mar-22,10-Mar-22,
Out of Warranty,A,BTDD162169,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,SHIV MINING DRILLING,BTDD162169,LODNA,,,LEHM104330,,,A (100% potential spares purchased),,Bikram  Sahoo,23-Jul-20,23-Jul-22,10-Jul-20,CC-01856673,,15280,,15380,15380,15380,0,16000,05-02-2026,16000,0,16000,19-02-2026,0,0,0,0,0,0,23-07-2020,16000,2022,,,0,23-07-2020,16000,2022,0,23-07-2020,16000,2022,0,23-07-2020,16000,2022,0,23-07-2020,16000,2022,Active,,,#N/A,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26
Out of Warranty,A,BTID162377,DPSAC - TROLLEY (C&M),Out of warranty,PG 450 - 150 2W 6BTA,Vikas Ranjan,BTID162377,RAMGARH,,,02B84917265,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,27-Jan-21,27-Jan-23,26-Dec-20,CC-01852073,,2020,,2020,2020,2020,0,2020,05-02-2026,2020,0,No Service,NO Service,0,0,0,0,0,0,27-01-2021,2020,1835,,,0,27-01-2021,2020,1835,0,27-01-2021,2020,1835,0,27-01-2021,2020,1835,0,27-01-2021,2020,1835,Active,,,Spurious,,,,,,,,,
Out of Warranty,A,BTHD120971,DPSAC - TROLLEY (C&M),Out of warranty,PG 300 - 100 2W HINO,PRANAV KUMAR SINGH,BTHD120971,BIHAR,,,NA,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,04-Jan-21,04-Jan-23,11-Nov-20,CC-01826866,3070,,3070,,0,3070,0,0,05-02-2026,3070,0,2245,06-12-2023,0,0,0,0,0,0,04-01-2021,3070,1858,,,0,04-01-2021,3070,1858,0,04-01-2021,3070,1858,0,04-01-2021,3070,1858,0,04-01-2021,3070,1858,Active,,,Low running,05-Dec-23,05-Dec-23,05-Dec-23,05-Dec-23,05-Dec-23,05-Dec-23,05-Dec-23,05-Dec-23,05-Dec-23
Out of Warranty,A,BUGD162852,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,UNIVERSAL MINING SOLUTION,BUGD162852,"TATULMURI, DHANBAD",,,MKHN102603,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,28-Dec-21,28-Dec-23,17-Nov-21,CC-01827193,6475,,6690,,0,7118,7100,0,05-02-2026,7118,0,3490,05-12-2023,0,0,0,0,0,0,28-12-2021,7118,1500,,,0,28-12-2021,7118,1500,0,28-12-2021,7118,1500,0,28-12-2021,7118,1500,0,28-12-2021,7118,1500,Active,,,0,04-Dec-23,04-Dec-23,04-Dec-23,04-Dec-23,04-Dec-22,04-Dec-23,,06-Sep-22,04-Dec-23
Out of Warranty,A,BUID162953,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,SHIV MINING DRILLING,BUID162953,"TAPIN PROJECT, TAPIN",,,MDHM109715,,,A (100% potential spares purchased),,Bikram  Sahoo,18-Feb-22,18-Feb-24,30-Dec-21,CC-01852476,,7600,,7700,7773,7867,0,7920,05-02-2026,7920,0,7920,19-02-2026,0,0,0,0,0,0,18-02-2022,7920,1447,,,0,18-02-2022,7920,1447,0,18-02-2022,7920,1447,0,18-02-2022,7920,1447,0,18-02-2022,7920,1447,Active,,,0,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26
Out of Warranty,A,BTCD162159,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,Sanjay Udyog Pvt. Ltd.,BTCD162159,DHANBAD,,,LHHM103398,,,A (100% potential spares purchased),LUBRICANTS & TREATMENT CHEMICA                                                  ,Bikram  Sahoo,08-Aug-20,08-Aug-22,24-Jun-20,CC-01843336,8800,,9000,,0,9273,9260,0,05-02-2026,9273,0,9000,24-10-2025,0,0,0,0,0,0,08-08-2020,9273,2006,,,0,08-08-2020,9273,2006,0,08-08-2020,9273,2006,0,08-08-2020,9273,2006,0,08-08-2020,9273,2006,Active,,,#N/A,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,24-Oct-25,31-Jan-25,31-Jan-25,31-Jan-25,31-Jan-25
Out of Warranty,A,BUJD121018,DPSAC - TROLLEY (C&M),Out of warranty,PG 300 - 100 2W HINO,DAEWOO-L&T JV,BUJD121018,PATNA,,,NA,,,A (100% potential spares purchased),CONSTRUCTION                                                                    ,Bikram  Sahoo,29-Jan-21,29-Jan-23,05-Jan-21,CC-01852089,,4720,,4825,4898,4992,0,4855,05-02-2026,4855,0,955,06-12-2023,0,0,0,0,0,0,29-01-2021,4855,1833,,,0,29-01-2021,4855,1833,0,29-01-2021,4855,1833,0,29-01-2021,4855,1833,0,29-01-2021,4855,1833,Active,,,#N/A,05-Dec-23,12-Jun-23,12-Jun-23,12-Jun-23,12-Jun-23,05-Dec-23,05-Dec-23,05-Dec-23,05-Dec-23
Out of Warranty,A,BUID162940,DPSAC - SKID (C&M),Out of warranty,PG 500-185,Anwar Hussain,BUID162940,"GOPI KANDHAR, DUMKA",,,MBHM111341,,,A (100% potential spares purchased),,Bikram  Sahoo,04-Feb-22,04-Feb-24,31-Dec-21,CC-01827210,5215,,5425,,0,5850,5830,0,05-02-2026,5850,0,5840,21-01-2026,0,0,0,0,0,0,04-02-2022,5850,1462,,,0,04-02-2022,5850,1462,0,04-02-2022,5850,1462,0,04-02-2022,5850,1462,0,04-02-2022,5850,1462,Active,,,0,20-Jan-26,20-Jan-26,20-Jan-26,20-Jan-26,20-Jan-26,20-Jan-26,20-Jan-26,20-Jan-26,20-Jan-26
Out of Warranty,A,BTED162231,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,BROSHAN INDIA PVT LTD,BTED162231,DHANBAD,,,LDHM105532,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,23-Oct-20,23-Oct-22,07-Sep-20,CC-01852011,,9750,,9860,9933,10027,0,9890,05-02-2026,9890,0,4560,30-08-2022,0,0,0,0,0,0,23-10-2020,9890,1931,,,0,23-10-2020,9890,1931,0,23-10-2020,9890,1931,0,23-10-2020,9890,1931,0,23-10-2020,9890,1931,Active,,,#N/A,25-Oct-24,25-Oct-24,25-Oct-24,25-Oct-24,16-Mar-22,25-Oct-24,16-Mar-22,20-Jun-21,03-Mar-22
Out of Warranty,A,BTHD162350,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,DOLLY DEVI,BTHD162350,"KHURPANIA, KHASHMAHAL, PHUSHRO",,,LBHM108883,,,A (100% potential spares purchased),,Bikram  Sahoo,04-Dec-21,04-Dec-23,25-Nov-20,CC-01827017,5235,,5445,,0,5868,5850,0,05-02-2026,5868,0,4165,19-03-2024,0,0,0,0,0,0,04-12-2021,5868,1524,,,0,04-12-2021,5868,1524,0,04-12-2021,5868,1524,0,04-12-2021,5868,1524,0,04-12-2021,5868,1524,Active,,,0,18-Mar-24,18-Mar-24,18-Mar-24,18-Mar-24,03-Aug-23,03-Aug-23,03-Aug-23,03-Aug-23,03-Aug-23
Out of Warranty,A,BTEL160427,EPSAC - TROLLEY,Out of warranty,PG 90E-12.5,EKLAVAYA STONE & MINES PVT. LTD.,BTEL160427,"NAWADA, BIHAR",,NA,NA,,,A (100% potential spares purchased),CONSTRUCTION                                                                    ,Bikram  Sahoo,15-Oct-20,15-Oct-22,30-Sep-20,CC-01826678,6510,,6670,,0,6992,0,0,05-02-2026,6992,0,4680,06-12-2023,0,0,0,0,0,0,15-10-2020,6992,1938,,,0,15-10-2020,6992,1938,0,15-10-2020,6992,1938,0,15-10-2020,6992,1938,0,15-10-2020,6992,1938,Active,,,Low running,05-Dec-23,05-Dec-23,,05-Jul-23,05-Dec-23,05-Dec-23,05-Dec-23,05-Dec-23,05-Dec-23
Out of Warranty,A,BTGD162289,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,ABHISHEK SONI,BTGD162289,TAPIN HAZARIBAGH,,,LCHM107060,,,A (100% potential spares purchased),,Bikram  Sahoo,03-Nov-20,03-Nov-22,09-Oct-20,CC-01851997,,11400,,11830,11976,12164,0,12268,05-02-2026,12268,0,12268,19-02-2026,0,0,0,0,0,0,03-11-2020,12268,1920,,,0,03-11-2020,12268,1920,0,03-11-2020,12268,1920,0,03-11-2020,12268,1920,0,03-11-2020,12268,1920,Active,,,Low running,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26
